title	type	url_slug	venue	date	location	talk_url	description
A High-Order Immersed Boundary Technique for Computational Aeroacoustics	Conference	high-order-ibm-cfa-2022	Congrès Français d'Acoustique	2022-04-11	France	https://hal.science/hal-03848118v1	Conference presentation on a high-order immersed boundary method for computational aeroacoustics (with V. Fortuné, D. Marx, and C. Prax).
Identification of Aeroacoustics Sources with Data Assimilation	Conference	aeroacoustic-sources-data-assimilation-2020	Forum Acusticum	2020-12-07	Lyon, France	https://hal.science/hal-03215254	Conference presentation on aeroacoustic source identification using data assimilation (with R. Marchiano and J.-C. Chassaing).
Aeroacoustic Source Identification with Effects of Solid Boundaries Using a Numerical Time-reversal Technique	Conference	aeroacoustic-time-reversal-solid-boundaries-2020	Forum Acusticum	2020-12-07	Lyon, France	https://hal.science/hal-03229452	Conference presentation on numerical time-reversal for aeroacoustic source identification with solid boundaries (with Y. Zhou, R. Marchiano, D. Marx, C. Prax, and V. Valeau).
A Nonlinear Conservative System for Describing Highly Nonlinear Acoustic Waves in Heterogeneous Media	Conference	model-highly-nonlinear-acoustics-in-heterogeneous-media	International Conference in honor for the 90th birthday of Sergei K. Godunov	2019-08-04	Novosibirsk, Russia	http://old.math.nsc.ru/conference/gsk/90/en/Program.htm	Conference presentation on the succesfull generalization of the homogeneous media model into heterogeneous media. (with M.A. Solovchuk, and T.W.H. Sheu).
Best Paper Presentation, NHRI Research Day	Talk	nhri-research-day-2018	National Health Research Institutes (NHRI)	2018-01-01	Zhunan, Taiwan		Awarded Best Paper Presentation at NHRI Research Day for work on nonlinear acoustics and multi-GPU solvers developed during the NSC postdoctoral fellowship.
Asymptotic-Preserving WENO Schemes for Boltzmann Model Equations and Rarefied Gas Flow Simulation	Conference	ap-weno-boltzmann-kscfe-2014	Korea Society of Computational Fluids Engineering	2014-01-01	Korea		Conference presentation on asymptotic-preserving WENO schemes for Boltzmann model equations and rarefied gas flows (with J.-Y. Yang, W.Y. Kang, and J.C. Huang).
High-order Numerical Descriptions of Nonlinear Acoustics Propagations on Multiple GPUs 	Conference	high-order-nonlinear-acoustics-multiple-gpus-parcfd-2017	Parallel Computational Fluid Dynamics Conference, ParCFD 2017	2017-05-15	UK, Glasgow		Conference presentation on high-order numerical descriptions of nonlinear acoustics propagations on multiple GPUs (with M.A. Solovchuka, and T.W.H. Sheu).
A Numerical investigation on the contribution of local nonlinear effects 	Conference 	numerical-investigation-local-nonlinear-effects-2016 	21st International Symposium on Nonlinear Acoustics 	2016-07-12 	US, Santa Fe, New Mexico		Conference presentation on a study of local nonlinear effects in acoustics (with D. Diaz,   M.A. Solovchuka, and T.W.H. Sheu).
Direct Modelling of Rarefied Quantum Gases in Arbitrary Flow Regimes with Semi-classical Boltzmann-BGK Equation	Conference	direct-modeling-rarefied-quantum-gases-boltzmann-bgk-2015	First Association of Computational Mechanics	2015-10-22	Taipei, Taiwan		Conference presentation on a direct approach to model Quantum rarefied gases using a Boltzmann-BGK model equation (with J.-Y. Yang, and J.C. Huang).
High-order Asymptotic-preserving Scheme for Solving Boltzmann-BGK Model Equation	Conference	ho-ap-scheme-for-solving-boltzmann-bgk-model-eq-2014	1th World Congress on Computational Mechanics (WCCM XI), 5th European Conference on Computational Mechanics (ECCM V), 6th European Conference on Computational Fluid Dynamics (ECFD VI)	2014-07-20	Barcelona, Spain	https://congress.cimne.com/iacm-eccomas2014/admin/files/fileabstract/A4339.pdf	Conference presentation to introduce a new high-oder Asymptotic-preserving scheme for solving classical Boltzmann-BGK model. (with Min-Hung Chen and Jaw-Yen Yang).
Computations of Rarefied Gas Flows of Arbitrary Statistics Using an Accurate Direct Solver for Semiclassical Boltzmann-BGK Equation	Conference	comp-of-rarefied-gas-flows-using-accurate-direct-solver-2011	Eighth International Conference on Flow Dynamics	2011-11-09	Japan, Sendai	https://www.ifs.tohoku.ac.jp/icfd/2011/program/program.pdf	Conference presentation on the legacy direct solver approach for modeling Quantum rarefied gases using Boltzmann-BGK equation (with Jaw-Yen Yang, and Bagus P. Muljadi).